,yaml_name,mean_distance_to_orig
0,hypersearch-1-8,0.3551811027376906
1,hypersearch-20-16,0.5083137455607497
2,hypersearch-2-35,0.3959771021033706
3,hypersearch-5-19,0.26369354518215327
4,hypersearch-4-24,0.19598638879602898
5,hypersearch-6-18,0.3595755392166788
6,hypersearch-5-43,0.39438270790473745
7,hypersearch-33-47,0.6810049129807857
8,hypersearch-2-12,0.34177335238544854
9,hypersearch-0-45,0.5070954519976009
10,hypersearch-9-49,0.40783138213235004
11,hypersearch-5-23,0.20374099749185284
12,hypersearch-35-0,0.23553756545822108
13,hypersearch-3-31,0.5662654921981961
14,hypersearch-20-46,0.49473915976826477
15,hypersearch-0-19,0.46417983542989494
16,hypersearch-8-44,0.4907790896466937
17,hypersearch-3-35,0.225534921944061
18,hypersearch-3-28,0.4131719873020189
19,hypersearch-9-43,0.24837707425026193
20,hypersearch-20-37,0.31528220338885793
21,hypersearch-4-49,0.3655580164430235
22,hypersearch-5-46,0.3874214706521181
23,hypersearch-9-13,0.4971679779397422
24,hypersearch-5-35,0.5726481359814137
25,hypersearch-2-44,0.4154475465209801
26,hypersearch-1-42,0.17506596924000978
27,hypersearch-5-5,0.3176489276664609
28,hypersearch-8-18,0.45613237703574266
29,hypersearch-35-35,0.31036006082493006
30,hypersearch-1-23,0.5847822014345397
31,hypersearch-0-1,0.4783493898329036
32,hypersearch-2-31,0.341843599328836
33,hypersearch-2-30,0.4168893528851584
34,hypersearch-6-32,0.5324389901188386
35,hypersearch-34-32,0.487740104281943
36,hypersearch-20-25,0.4057201058899063
37,hypersearch-33-35,0.2536751278139173
38,hypersearch-3-18,0.6244914443688105
39,hypersearch-1-25,0.37161504640145293
40,hypersearch-0-49,0.41483980094985506
41,hypersearch-30-23,0.3472275894282485
42,hypersearch-0-14,0.32717004166564734
43,hypersearch-4-23,0.2784032274600475
44,hypersearch-6-40,0.22236121396012568
45,hypersearch-7-42,0.2927764618934717
46,hypersearch-3-4,0.4863892038014061
47,hypersearch-5-26,0.623024206270682
48,hypersearch-20-35,0.5155260685709938
49,hypersearch-5-18,0.17011219509986691
50,hypersearch-2-21,0.40851150396000346
51,hypersearch-30-17,0.3789269921737219
52,hypersearch-2-24,0.6097558408862408
53,hypersearch-4-21,0.6491322249214155
54,hypersearch-0-9,0.25286484224017225
55,hypersearch-2-42,0.6060564380134731
56,hypersearch-7-33,0.5744286156987706
57,hypersearch-20-44,0.38462558410397085
58,hypersearch-34-34,0.22840911163209934
59,hypersearch-33-16,0.18737221860734038
60,hypersearch-0-46,0.3731060449876754
61,hypersearch-35-49,0.3871364762599637
62,hypersearch-2-40,0.4219674458686047
63,hypersearch-5-47,0.22947749087478359
64,hypersearch-34-21,0.505866223890646
65,hypersearch-8-42,0.45308780204074844
66,hypersearch-34-40,0.43393479907187194
67,hypersearch-35-6,0.3081602376875945
68,hypersearch-31-19,0.20552865771999074
69,hypersearch-5-22,0.5455037348816257
70,hypersearch-5-45,0.4161977890192767
71,hypersearch-2-36,0.2675430410540189
72,hypersearch-31-12,0.6044747668973011
73,hypersearch-8-13,0.3469500975273614
74,hypersearch-9-32,0.3758535264271414
75,hypersearch-4-28,0.47798037784831215
76,hypersearch-33-21,0.765158077099804
77,hypersearch-8-16,0.6387736980219463
78,hypersearch-6-0,0.4100990167923956
79,hypersearch-2-14,0.3153822930275392
80,hypersearch-34-48,0.34765923861457915
81,hypersearch-6-39,0.28624202107495755
82,hypersearch-30-0,0.7305423604421226
83,hypersearch-7-1,0.7338139788711534
84,hypersearch-2-16,0.5438510122968863
85,hypersearch-8-34,0.2072097031105074
86,hypersearch-0-6,0.4905636844726534
87,hypersearch-35-28,0.25666341152292554
88,hypersearch-8-43,0.24171607026352968
89,hypersearch-0-38,0.4495872986655504
90,hypersearch-2-26,0.4459033557842373
91,hypersearch-6-20,0.30399651347607604
92,hypersearch-30-2,0.4674060720566844
93,hypersearch-34-33,0.4689607831124009
94,hypersearch-2-25,0.2873441191627766
95,hypersearch-4-34,0.230202924790662
96,hypersearch-34-7,0.2047875101575943
97,hypersearch-0-16,0.5164396574207565
98,hypersearch-5-17,0.6900626397877759
99,hypersearch-5-32,0.4187751785299408
100,hypersearch-20-27,0.3294819669988079
101,hypersearch-0-17,0.3653948634367839
102,hypersearch-0-15,0.48854616037876275
103,hypersearch-6-21,0.4681031880989348
104,hypersearch-7-11,0.3304786959314619
105,hypersearch-30-10,0.5775595284851386
106,hypersearch-9-7,0.491319039575269
107,hypersearch-2-43,0.6316890397772223
108,hypersearch-2-34,0.5378475749016113
109,hypersearch-20-34,0.23323653039442033
110,hypersearch-2-20,0.4724168491203121
111,hypersearch-7-9,0.56307279802984
112,hypersearch-6-19,0.4647683520328788
113,hypersearch-3-20,0.7671794289182455
114,hypersearch-33-46,0.48069993325004917
115,hypersearch-4-47,0.31021566019699626
