,yaml_name,mean_distance_to_orig,optim_lr,gamma,score_pow,composite_balance,adaptive_score_offset
0,hypersearch-1-8,0.3551811027376906,0.19023927250996922,0.1912704976526788,1.3333928489791251,0.7660333358182976,0.6428999531757406
1,hypersearch-20-16,0.5083137455607497,0.6016450167908507,0.25252645722388034,0.4233345742846647,0.5822294652553655,0.15079064473747003
2,hypersearch-2-35,0.3959771021033706,0.39447429319369914,0.006357043476144031,2.0049786507764136,-0.17658881778052637,0.6433787249228821
3,hypersearch-5-19,0.26369354518215327,0.3703649625974957,0.2907268900364065,2.0418948004454367,-0.887467765805714,0.16054525485990806
4,hypersearch-4-24,0.19598638879602898,0.050574385928779664,0.11719539457387568,0.4566965503729248,-0.20885380313207147,0.37890292574330287
5,hypersearch-6-18,0.3595755392166788,0.18788591174589897,0.18008476645736723,1.528020883599746,0.775613950348635,0.7215120821217184
6,hypersearch-5-43,0.39438270790473745,0.21048585919390597,0.08096559939698096,1.4320744063012318,0.1370534094662017,0.7974780033212459
7,hypersearch-33-47,0.6810049129807857,0.6649417995678504,0.21775674101333073,1.2361741836850197,0.34630549931585763,0.883132828407896
8,hypersearch-0-41,0.4650261749253714,0.41419779488315017,0.2863185037953207,0.5035138546438447,0.8348341315147176,0.4145005914286629
9,hypersearch-2-12,0.34177335238544854,0.1590964344721137,0.15502026652206005,2.967976882929098,0.36560622876131865,0.5271773146449998
10,hypersearch-0-45,0.5070954519976009,0.3982052966666013,0.24280522722194403,2.3534725203444316,0.77558041306242,0.5839779783962117
11,hypersearch-9-49,0.40783138213235004,0.2516626557975591,0.21130305822048082,1.86445254933057,0.7465303507167369,0.642025274765921
12,hypersearch-5-23,0.20374099749185284,0.1011473289707993,0.16808048053953836,-0.01837493855997302,0.13939319248129234,0.2956272617241352
13,hypersearch-35-0,0.23553756545822108,0.0687210320078669,0.21850433211089926,1.0584864430813499,0.3470681511850895,0.4874327475597663
14,hypersearch-3-31,0.5662654921981961,0.4824736915005883,0.23822564611826955,2.107754595502861,0.41662955236265287,0.4186762054177602
15,hypersearch-20-46,0.49473915976826477,0.529441230579209,0.20266999253150128,1.1883567737882066,-0.7722292713055672,0.7215799706427631
16,hypersearch-0-19,0.46417983542989494,0.404570536593636,0.27830629914462973,-0.3538850858562093,0.9151945175593232,0.6795592479590814
17,hypersearch-8-44,0.4907790896466937,0.5960614720333282,0.2654388252856229,1.768386911723518,-0.5970611151063379,0.8569995799074732
18,hypersearch-3-35,0.225534921944061,0.25521375130130114,0.06791068808113289,2.801275677610897,-0.6449749305983876,0.15855007795714893
19,hypersearch-3-28,0.4131719873020189,0.2336125660325199,0.0048475162737127596,1.6027522687611353,0.24696239944393938,0.9507391223857091
20,hypersearch-9-43,0.24837707425026193,0.06803710690492913,0.2441649143186346,2.501559193131625,0.030637531315278466,0.3428143196062656
21,hypersearch-20-37,0.31528220338885793,0.1968759521659485,0.1929798901443058,0.2812907571780803,0.6509055679574742,0.5675450562248385
22,hypersearch-4-49,0.3655580164430235,0.4294071125200157,0.19312288243705156,2.3490291361512075,-0.29244747850486896,0.2482163860649273
23,hypersearch-5-46,0.3874214706521181,0.2616783409340602,0.27716810374351203,2.6783207374242135,-0.03451975578327171,0.43659404927879364
24,hypersearch-9-13,0.4971679779397422,0.3919651461292295,0.19373653024201432,1.6261294119539427,0.9422998001726401,0.44464370348759263
25,hypersearch-5-35,0.5726481359814137,0.5297371919098883,0.03310097082983754,1.3740234448950905,0.7947620333593823,0.8375974224783924
26,hypersearch-2-44,0.4154475465209801,0.2625009879567487,0.2037725636091895,0.3219538079484705,-0.01654192033149471,0.5688495763777359
27,hypersearch-1-42,0.17506596924000978,0.016135242343185738,0.06190751774164305,2.1438511459467997,-0.5017368364800585,0.24504069641635773
28,hypersearch-5-5,0.3176489276664609,0.14541145051377516,0.23760083120508152,2.0107072903469674,0.5555128127758067,0.3002682385121249
29,hypersearch-8-18,0.45613237703574266,0.5440711123596366,0.11651117572465419,1.163821790065346,-0.47476691541745186,0.7786638501793601
30,hypersearch-35-35,0.31036006082493006,0.21249107885391016,0.21370564922946847,2.7823582369912137,-0.10011480163557729,0.8751521661843635
31,hypersearch-1-23,0.5847822014345397,0.547488648487532,0.11515477722408532,1.796965567991287,0.6908445950547992,0.5351313111961212
32,hypersearch-0-1,0.4783493898329036,0.3182095221287475,0.005252678025878477,0.8511232453482331,0.3320935179451092,0.8867992355587847
33,hypersearch-2-31,0.341843599328836,0.17484552909558038,0.22127166474364574,1.0577962629344024,0.6283704559026577,0.9239189461323264
34,hypersearch-2-30,0.4168893528851584,0.6057743450097182,0.10225537345150298,2.7044015352358772,-0.9917316724902596,0.2663350761052341
35,hypersearch-6-32,0.5324389901188386,0.5739168614001883,0.27658224133187775,0.007844643327250989,-0.6087699861656897,0.6566248001719759
36,hypersearch-34-32,0.487740104281943,0.39802488342553594,0.058275378672749234,1.2594254660984974,0.5827092608271245,0.3395414107365602
37,hypersearch-20-25,0.4057201058899063,0.22255212480606354,0.026033992041897547,1.368137598485887,0.2102804826719522,0.9617197858693612
38,hypersearch-33-35,0.2536751278139173,0.1818010360049075,0.11093617457024131,-0.21703145199583423,0.8012819706774088,0.14951313123048582
39,hypersearch-3-18,0.6244914443688105,0.4599086757271521,0.10399037529720928,1.1892045556395194,0.036965937522978054,0.8996857839966036
40,hypersearch-1-25,0.37161504640145293,0.4385507419436022,0.17849662214582065,1.3578969161480288,-0.341506470791356,0.30092568283218085
41,hypersearch-0-49,0.41483980094985506,0.44472233599365296,0.14349920612545713,2.6549757294229743,-0.29473488678000037,0.5511941544575286
42,hypersearch-30-23,0.3472275894282485,0.2944105194653581,0.073880394511154,2.7512625646919044,-0.2172227360981902,0.7669261381770055
